name,writer,original_language,genre,binding,publication,price,transaction_method,year,read_unread,rating,writer_gender
Sacred Tibet,Philip S. Rawson,English,Non Fiction,Paperback,Thames and Hudson,243,Online,2020,Yes,Excellent,Male
The Tibetan Book of Death,W. Y. Evans-Wentz,English,Non Fiction,Paperback,Winsome Books India,248,Online,2020,Yes,Moderate,Male
The Picture of Dorian Gray,Oscar Wilde,English,Fiction,Hardcover,Fingerprint Deluxe Edition,269,Online,2022,Yes,Excellent,Male
Farewell to Arms,Ernest Hemingway,English,Fiction,Paperback,,270,Online,2023,No,None,Male
The Hobbit,J. R. R. Tolkien,English,Fiction,Hardcover,Essential Modern Classics,272,Online,2020,Yes,Excellent,Male
Thus Spoke Zarathustra,Friedrich Nietzsche,German,Prose,Paperback,Penguin ,276,Online,2021,Yes,Excellent,Male
Into the Wild,Jon Krakauer,English,Fiction,Paperback,Pan Macmillan,284,Online,2021,Yes,Moderate,Male
Asura: Tale of the Vanquished,Anand Neelakantam,English,Fiction,Paperback,,288,Online,2020,No,None,Male
Holy Vedas,,Sanskrit,Poetry,Hardcover,Grapevine India,290,Online,2020,Yes,Moderate,
The God of Small Things,Arundhati Roy,English,Fiction,Paperback,Penguin,295,None,2021,No,None,Female
The Very best of Ruskin Bond,Ruskin Bond,English,Fiction,Paperback,Rupa Publishers,295,Cash,2018,Yes,Moderate,Male
The Dalai Lama's Cat and The Power of Meow,David Michie,English,Fiction,Paperback,Hay House India,297,Online,2020,No,None,Male
Man's Search for Meaning,Victor E. Frankl,German,Non Fiction,Paperback,rider,299,Cash,2021,Yes,Excellent,Male
Rumi: A new Translation,Farrukh Dhondy,Persian,Poetry,Hardcover,Harper Collins,299,Online,2020,Yes,Moderate,Male
Tess of D'Urbervilles,Thomas Hardy,English,Fiction,Paperback,Penguin ,299,Online,2018,Yes,Moderate,Male
The Call of the Wild & White Fang,Jack London,English,Fiction,Hardcover,Wilco classics,299,Online,2023,Yes,Excellent,Male
The Glass Menagerie,Tennessee Williams,English,Drama,Paperback,Penguin ,299,None,2023,Yes,Moderate,Male
The complete Sherlock Holmes,Arthur Conan Doyle,English,Fiction,Paperback,BeThink Books,300,Online,2020,Yes,Excellent,Male
The Alchemist,Paulo Coelho,English,Fiction,Hardcover,Harper Collins,310,Online,2020,Yes,Moderate,Male
Inferno,Dan Brown,English,Fiction,Paperback,RHUK,319,Online,2020,Yes,Moderate,Male
The Lost Symbol,Dan Brown,English,Fiction,Paperback,RHUK,319,Online,2020,Yes,Moderate,Male
The Story of Philosophy,Will Durant,English,Non Fiction,Paperback,Simon and Schuster,320,Online,2021,Yes,Excellent,Male
Devils,Fyodor Dostoevsky,Russian,Fiction,Paperback,Bloomsbury publication,322,Online,2022,Yes,Excellent,Male
The Idiot,Fyodor Dostoevsky,Russian,Fiction,Paperback,Bloomsbury publication,324,Online,2021,Yes,Excellent,Male
Angels and Demons,Dan Brown,English,Fiction,Paperback,RHUK,328,Online,2020,Yes,Moderate,Male
A brief History of Time,Stephen Hawking,English,Non Fiction,Paperback,Bantam,329,Online,2020,Yes,Excellent,Male
Doctor Zhivago,Boris Pasternak,Russian,Fiction,Paperback,RHUK,335,Online,2021,Yes,Excellent,Male
The Dalai Lama's Cat and the Four Paws of Spiritual Success,David Michie,English,Fiction,Paperback,Hay House India,341,Online,2020,No,None,Male
Journey to Lhasa,Sarat Chandra Das,English,Fiction,Paperback,Speaking Tiger,345,Online,2020,Yes,Moderate,Male
The Glass Bead Game,Hermann Hesse,German,Fiction,Paperback,vintage classics,356,Online,2021,Yes,Excellent,Male
The Dalai Lama's Cat,David Michie,English,Fiction,Paperback,Hay House India,358,Online,2020,Yes,Moderate,Male
French in Three Months,Ronald Overy,English,Non Fiction,Paperback,DK,361,Online,2021,Yes,Moderate,Male
French in Three Months,Jacqueline Lecanuet,English,Non Fiction,Paperback,DK,361,Online,2021,Yes,Moderate,Female
Book Of Lost Tales: Book 2,J. R. R. Tolkien,English,Fiction,Paperback,Harper Collins,372,Online,2021,No,None,Male
The Dalai Lama's Cat and the art of purring,David Michie,English,Fiction,Paperback,Hay House India,379,Online,2020,Yes,Moderate,Male
The Brothers Karamazov,Fyodor Dostoevsky,Russian,Fiction,Paperback,Penguin ,384,Online,2022,Yes,Excellent,Male
"Banaras, city of light",Diana L. Eck,English,Non Fiction,Paperback,Penguin,395,Online,2019,Yes,Moderate,Female
And Quite flows the Don,Mikhail Sholokhov,Russian,Fiction,Paperback,Penguin ,397,Online,2021,Yes,Moderate,Male
Into Thin Air,Jon Krakauer,English,Fiction,Paperback,Pan Macmillan,399,Online,2021,Yes,Moderate,Male
Origin of (Almost) Everything,John Murray,English,Non Fiction,Paperback,New Scientist,402,Online,2020,Yes,Moderate,Male
Book Of Lost Tales: Book 1,J. R. R. Tolkien,English,Fiction,Paperback,Harper Collins,405,Online,2021,No,None,Male
Homo Deus,Yuval Noah Harari,English,Non Fiction,Paperback,Vintage,405,Online,2023,Yes,Bad,Male
Complete poems of John Keats,John Keats,English,Poetry,Paperback,Wordsworth Poetry,406,Online,2023,No,None,Male
"Egypt: Gods, Myths and Religion",Lucia Gahlin,English,Non Fiction,Paperback,Southwater,428,Online,2020,Yes,Excellent,Female
The Way of Zen,Alan Watts,English,Non Fiction,Paperback,Vintage Spiritual Classics,428,Online,2020,Yes,Excellent,Male
Zen: The Art of Simple Living,Shunmyo Masuno,Japanese,Non Fiction,Hardcover,Micael Joseph,434,Online,2020,Yes,Excellent,Male
Steppenwolf,Hermann Hesse,German,Fiction,Paperback,Penguin,436,Online,2021,Yes,Excellent,Male
The Art of Happiness,The Dalai Lama,English,Non Fiction,Paperback,,459,Online,2020,Yes,Moderate,Male
Man Of Mathematics,E. T. Bell,English,Non Fiction,Paperback,Touchstone,469,Online,2022,Partially read,Moderate,Male
Indian Philosophy vol 1,S. Radhakrishnan,English,Non Fiction,Paperback,Oxford India,483,Online,2021,Yes,Excellent,Male
IKIGAI,Hector Garcia,English,Non Fiction,Hardcover,Penguin Random House,499,Online,2021,Yes,Moderate,Male
IKIGAI,Francesc Miralles,English,Non Fiction,Hardcover,Penguin Random House,499,Online,2021,Yes,Moderate,Male
Kafka on the Shore,Haruki Murakami,Japanese,Fiction,Paperback,Vintage Books London,499,Online,2022,Partially read,None,Male
Wabi Sabi: Japanese wisdom for a perfectly imperfect Life,Beth Kempton,English,Non Fiction,Hardcover,Piatkus,525,Online,2020,Yes,Excellent,Female
The Secret,Rhonda Byrne,English,Non Fiction,Hardcover,Simon and Schuster,573,Online,2020,No,None,Female
William Shakespeare complete works,William Shakespeare,English,Drama,Paperback,Arden,630,Online,2022,Partially read,Excellent,Male
Les Miserables,Victor Hugo,French,Fiction,Paperback,Vintage Classics,648,Online,2021,Yes,Excellent,Male
Time within Time: The Diaries,Andrei Tarkovsky,Russian,Non Fiction,Paperback,Seagull Books,681,Online,2021,Yes,Excellent,Male
The History of Philosophy,A. C. Grayling,English,Non Fiction,Paperback,Penguin,699,Online,2021,Yes,Excellent,Male
The Count of Monte Cristo,Alexander Dumas,French,Fiction,Hardcover,Penguin,797,Online,2022,Partially read,Excellent,Male
The Lord of the rings,J. R. R. Tolkien,English,Fiction,Paperback,Harper Collins,805,Online,2021,Yes,Excellent,Male
Leonardo da Vinci: the complete works,,English,Non Fiction,Hardcover,David and Charles,845,Online,2020,Yes,Excellent,
Complete Chronicle of Narnia,C. S. Lewis,English,Fiction,Hardcover,Harper Collins,1337,Online,2022,Yes,Excellent,Male
Exotics and Retrospectives,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Ghostly Japan,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Glimpses of Unfamiliar Japan,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Kokoro Hints and Echoes of Japanese Inner Life,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Kwaidan,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Madame Chrysantheme,Pierre Loti,French,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Shadowings,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Some Chinese Ghosts,Lafcadio Hearn,English,Non Fiction,Hardcover,,,None,2021,Yes,Excellent,Male
Kakababu Samagra Vol 1,Sunil Ganguly,Bengali,Fiction,Hardcover,Anand Publishers,300,Cash,2016,Yes,Moderate,Male
Kakababu Samagra Vol 2,Sunil Ganguly,Bengali,Fiction,Hardcover,Anand Publishers,400,Cash,2016,Yes,Moderate,Male
Sankyu Samagra,Satyajit Ray,Bengali,Fiction,Hardcover,Anand Publishers,400,None,2016,Yes,Excellent,Male
